idx,a_pot,b_pot,numerically_stable,w0_cpl_latetime,wa_cpl_latetime,chi2_bao,s_fit_bao,chi2_sn,offset_fit_sn,n_sn,chi2_total
319,0.5513510354077046,0.0058816236786256,False,-1.0388726884919397,0.2617910452709674,3932.2828297792776,0.05765615821252639,1275.1098515511928,42.93746240471483,1590,5207.392681330471
320,2.430920873717312,0.0993436854723216,True,-1.0000000000000189,1.2280484330071045e-13,5163.494851809413,0.06200664359772764,1320.329431948207,42.93335685557615,1590,6483.82428375762
321,9.291250447494924,0.0002473003168976,False,-0.5014916490841247,0.7342732719663828,99.7418012600645,0.03009131960632898,721.0008395004543,43.11502872621136,1590,820.7426407605187
322,15.243319014491169,0.0002693866085207,True,-0.5444982109427133,0.7902469300207055,82.75410041992421,0.030645232009042817,706.4898425111969,43.10140872560047,1590,789.2439429311212
323,81.64827055682346,0.0415568254018296,True,-1.000000000605229,4.091470295265202e-09,5163.49483068141,0.06200664352283913,1320.329431260965,42.933356855640376,1590,6483.824261942375
324,0.0555302176623034,0.0004857603152469,True,-1.0000000000000004,1.5122345346930433e-15,5163.494851519092,0.062006643596710355,1320.3294319393,42.9333568555769,1590,6483.824283458392
325,0.7048178083144501,0.000326716399683,True,-0.443119275944189,0.6595721214699359,144.71161733163137,0.029293543244587595,749.9060939170515,43.13049776239399,1590,894.6177112486829
326,1.5658812496164252,0.1970124859394335,True,-1.0,-3.639077613916078e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
327,3.021817080356401,0.0043314426997553,True,-1.015835742430636,0.0965423805204394,4716.619579670888,0.0604437513337469,1305.8569705102475,42.934567760968456,1590,6022.476550181135
328,16.388828754698835,0.0376787818492685,True,-1.000000003053285,1.9670789996429853e-08,5163.4947539378245,0.062006643253050324,1320.329428786431,42.93335685583502,1590,6483.8241827242555
329,0.091251482665088,0.0029791971372287,True,-0.9999999999999994,-5.16102841870975e-16,5163.494851809912,0.06200664359772942,1320.3294319482247,42.93335685557614,1590,6483.8242837581365
330,0.166105928077566,0.3696806011105075,True,-0.9999999999999996,-8.929972355735494e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
331,1.2656271170194318,0.1860335079023036,False,-1.0000000000000009,1.0706395731467804e-15,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
332,0.0144101725594426,0.0001114141955299,False,-1.000000000143259,7.996959406608128e-10,5163.139116845912,0.062005397148149,1320.3185018072254,42.933357774731135,1590,6483.457618653138
333,0.0939502847981647,0.2538462450996722,True,-0.9999999999999992,-6.161512556955203e-16,5163.494851809952,0.062006643597729574,1320.3294319482254,42.93335685557614,1590,6483.824283758177
334,0.7337749271106672,0.1143502740154694,True,-1.0000000000075582,4.417108741992653e-11,5163.494851606245,0.062006643597026775,1320.3294319429015,42.93335685557666,1590,6483.8242835491465
335,0.0751171858625678,0.024420059965041,True,-1.0000000000000009,9.702712600651497e-16,5163.49485180725,0.06200664359772008,1320.3294319481374,42.93335685557615,1590,6483.824283755387
336,69.97708454020452,0.0002991474458523,False,-0.5994882021146501,0.8732229176460381,47.09615690634722,0.03148298065569172,690.9275092825417,43.092284915318324,1590,738.0236661888889
337,0.0553001016939068,0.0550164338014096,True,-1.0000000000000004,9.77046199394447e-16,5163.4948515012875,0.062006643596647995,1320.3294319387555,42.933356855576946,1590,6483.824283440043
338,0.0208332825051239,0.468314868876169,True,-1.0000000000082585,4.4137396848468136e-11,5163.47615118762,0.062006578072482624,1320.3288576626355,42.93335690393263,1590,6483.805008850256
339,0.0176467173479141,0.049808844960781,True,-1.0000000000292408,1.6492454066946443e-10,5163.41947782931,0.06200637949740344,1320.327116401831,42.93335705038926,1590,6483.746594231141
340,0.0244210165112066,0.000382803289502,True,-1.0000000000019742,1.0503128319161891e-11,5163.49045226025,0.06200662818205375,1320.3292968569388,42.933356866959635,1590,6483.819749117189
341,35.32998474357317,0.0003683147944532,True,-0.5017471436228831,0.3017064860181561,22.42490806401459,0.03282884153198922,685.8090900593678,43.06644249190357,1590,708.2339981233824
342,3.3808331179224025,0.0465763223784957,True,-1.000000000720782,4.554118402480995e-09,5163.49482943799,0.06200664351909831,1320.3294312581356,42.93335685563095,1590,6483.824260696126
343,0.0462828183474378,0.003563595211957,False,-1.0000000000000016,7.733526527538681e-15,5163.494848310886,0.062006643585468535,1320.3294318408139,42.93335685558521,1590,6483.824280151699
344,0.0171419580289293,0.042583081949568,True,-1.000000000039713,2.1725396151071416e-10,5163.399790733391,0.06200631051960261,1320.3265115720023,42.93335710120605,1590,6483.726302305393
345,0.0399335391774238,0.2380582906703676,True,-1.0000000000000049,3.682396882509052e-14,5163.494829438071,0.0620066435193401,1320.3294312610506,42.93335685563403,1590,6483.824260699122
346,0.0130169508803081,0.0001578425064394,True,-1.000000000301973,1.6776670275093191e-09,5162.762995682202,0.06200407928382956,1320.3069502050575,42.93335874711182,1590,6483.06994588726
347,1.9442923707718929,0.0064238728836859,True,-1.0039393764076827,0.024334696922525,5044.055357796371,0.06158876469040418,1316.6401719203377,42.93366820612432,1590,6360.695529716709
348,12.807356754124536,0.0143701670434181,True,-1.0000233474081728,0.000138323112124,5162.84606142073,0.062004373910067065,1320.3096735791678,42.933358530613624,1590,6483.1557349998975
349,0.181173372535896,0.0014096705156366,True,-0.9999999999999996,2.3754390090192996e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
350,0.9011340917687856,0.3051188440350546,False,-0.9999999999999998,3.7129690799523475e-17,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
351,0.0756690397524328,0.1116060000319893,True,-1.0,-1.1007427970185841e-15,5163.4948518075635,0.062006643597721185,1320.3294319481495,42.93335685557615,1590,6483.824283755713
352,0.043291320529605,0.0178362569347499,True,-1.0000000000000016,1.1679266329797908e-14,5163.494843563638,0.06200664356883547,1320.3294316950673,42.933356855597495,1590,6483.824275258705
353,0.5765989070505552,0.3180341962834255,True,-0.9999999999998072,2.1639880022233572e-13,5163.494851805686,0.062006643597707405,1320.3294319476277,42.93335685557622,1590,6483.824283753314
354,0.0126228084291526,0.0612079629837093,True,-1.000000000341814,1.950123636932744e-09,5162.591065632156,0.06200347684962038,1320.301668420641,42.93335919147859,1590,6482.892734052797
355,0.116075822195255,0.1984064194833038,False,-1.0000000000000002,1.5293313202711943e-16,5163.494851810003,0.06200664359772973,1320.3294319482256,42.93335685557614,1590,6483.824283758228
356,92.9892096476188,0.0018570330130425,False,-1.063677908319936,0.5404978675819053,2577.772830851749,0.05266359951465294,1202.3651790907152,42.944867351869824,1590,3780.138009942464
357,28.173401230722035,0.2467857120551968,True,-1.0000000000000002,6.032213734327994e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
358,1.4914825742236393,0.0305369734419356,True,-1.0000002452698142,1.434150142559676e-06,5163.488273230498,0.06200662061459367,1320.3292348983894,42.93335687368866,1590,6483.817508128887
359,2.0349253113711017,0.5195758402873244,True,-1.0,7.143156411887052e-16,5163.494851810006,0.06200664359772974,1320.3294319482256,42.93335685557614,1590,6483.824283758232
